,title,price,condition,condition_description,num_reviews,pos_feedback_pct,return_days,model,capacity,release_year
10,apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone - good,204.99,2.0,"“this apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone is in used condition. it is 100% functional but will show signs of use, including scratches and dents on the front, back, and corners of the product. it will not come in its original packaging but will include an mfi certified lightning cable and ul approved power adapter. headsets, sim card and manual are not included. this apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone is fully functional with all carrier networks. it does not come with a sim card, you will need to get one from your carrier of choice.”",67860.0,98.8,2.0,13,64.0,2018
11,apple iphone 8 64gb factory unlocked phone - very good,144.95,3.0,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332402.0,98.4,3.0,11,64.0,2017
12,apple iphone 11 64gb factory unlocked 4g lte smartphone - good,319.99,2.0,"“this iphone 11 is in good condition. it is 100% functional but will show signs of use, including scratches and dents on the front, back, and corners of the product. it will not come in its original packaging but will include a certified cable and ul-approved power adapter. headsets, sim card and manual are not included. this iphone 11 is fully functional with all carrier networks.  it does not come with a sim card, you will need to get one from your carrier of choice.”",67860.0,98.8,2.0,15,64.0,2019
13,apple iphone x 256gb unlocked smartphone - very good,234.95,3.0,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332402.0,98.4,3.0,12,256.0,2017
14,apple iphone xs 64gb unlocked smartphone - very good,219.95,3.0,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332402.0,98.4,3.0,14,64.0,2018
16,apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone - good,204.99,2.0,"“this apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone is in used condition. it is 100% functional but will show signs of use, including scratches and dents on the front, back, and corners of the product. it will not come in its original packaging but will include an mfi certified lightning cable and ul approved power adapter. headsets, sim card and manual are not included. this apple iphone xr 64gb factory unlocked smartphone 4g lte ios smartphone is fully functional with all carrier networks. it does not come with a sim card, you will need to get one from your carrier of choice.”",67860.0,98.8,2.0,13,64.0,2018
17,apple iphone 13 128gb\256gb\512gb a2482 unlocked excellent,669.99,1.0,"“excellent condition - these phones will appear flawless but upon a closer look there may be subtle signs of use. there may be some signs of use on the screen or on the body of the phone, however, these will be difficult to notice with the naked eye. all phones are fully tested using our 34-point inspection process and are 100% functional.”",39879.0,99.0,2.0,17,128.0,2021
18,apple iphone 8 64gb factory unlocked phone - very good,144.95,3.0,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332402.0,98.4,3.0,11,64.0,2017
19,apple iphone 11 a2111 64/128/256gb sprint verizon t-mobile at&t unlocked good,299.99,1.0,“good condition - these phones may show common to heavy signs of wear such as scuffs or scratches on both the screen and the body. there may be dings in the frame of the phone and wear around audio and charging ports. all phones are fully tested using our 34-point inspection process and are 100% functional.”,39879.0,99.0,2.0,15,127.09859154929578,2019
20,apple iphone x 256gb unlocked smartphone - very good,234.95,3.0,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332402.0,98.4,3.0,12,256.0,2017
21,apple iphone 11 64gb factory unlocked 4g lte smartphone - good,309.99,2.0,"“this product has been determined fully functional by our industry leading functionality inspection and is backed by a one year warranty , good condition - may show moderate signs of wear like a few scratches, scuffs, and minor dents but it does not impair the functionality, and no screen burns, includes free approved charger and cable, certified via a 34 point factory inspection, these are unlocked devices, ships in a generic box, photos are stock photos”",119534.0,99.2,2.0,15,64.0,2019
22,apple iphone 12 unlocked 64gb 128gb 256gb | verizon t-mobile at&t | very good,489.98,3.0,"“phones are 100% tested and work like new. all orders include the apple iphone 12 (color, carrier, and gb you choose from drop down list), wall charging block, and mfi certified lightning usb cable. battery health tested and is a minimum of 80%+. very good- shows some limited use with light scratches on front screen/back and possible wear on edges. all units tested and work perfectly!”",15046.0,98.4,2.0,16,64.0,2020
24,apple iphone xs 64gb unlocked smartphone - very good,219.95,3.0,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332402.0,98.4,3.0,14,64.0,2018
25,apple iphone xs 64gb factory unlocked 4g lte ios smartphone - very good,234.99,3.0,"“this apple iphone xs 64gb factory unlocked 4g lte ios smartphone has been determined fully functional by our industry leading functionality inspection. it will show signs of wear like scratches, scuffs, and minor nicks on the screen or body. it will not come in its original packaging but will include an mfi certified lightning cable and ul approved power adapter. headsets, sim card and manual are not included. this apple iphone xs 64gb factory unlocked 4g lte ios smartphone is fully functional with all carrier networks. it does not come with a sim card, you will need to get one from your carrier of choice.”",67860.0,98.8,3.0,14,64.0,2018
26,apple iphone 11 - 64gb - factory unlocked - good condition,309.99,2.0,"“fully tested and restored to factory settings by our in house technicians. - good – this product is in good cosmetic condition, there will be signs of wear which may include scratches, visible scuffs and/or screen discoloration but nothing that will impair functionality. battery health will be a minimum of 80%. the item has been fully tested, restored to factory settings and is in excellent working order.”",27638.0,96.8,3.0,15,64.0,2019
27,apple iphone xs max 64/256/512gb a1921 a2101 at&t verizon unlocked excellent,299.99,1.0,"“excellent condition - these phones will appear flawless but upon a closer look there may be subtle signs of use. there may be some signs of use on the screen or on the body of the phone, however, these will be difficult to notice with the naked eye. all phones are fully tested using our 34-point inspection process and are 100% functional.”",5146.0,99.6,2.0,14,176.43672456575683,2018
28,apple iphone xs max - 256gb - space gray (unlocked) a1921 (cdma + gsm),409.99,5.0,““these units are returns from our retail stores and have been sent back and retested to ensure 100% function. these units are backed by our 30 day worry free guarantee. all units are in pristine cosmetic condition. comes with original wrapped oem charger and cube and a box. along with oem accessories we are also throwing in an extra car charger. these devices are unlocked and can be activated on cdma and gsm carriers””,7186.0,100.0,2.0,14,256.0,2018
29,apple iphone 7 128gb  gsm/cdma fully unlocked smartphone- black ,119.99,1.0,"“overall good condition , may have minor marks and scratches - charger included .”",13110.0,96.2,2.0,10,128.0,2016
30,apple iphone 8 plus 64gb unlocked smartphone - very good,219.95,3.0,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332402.0,98.4,3.0,11,64.0,2017
31,apple iphone x 64gb fully unlocked (gsm+cdma) at&t t-mobile verizon silver,234.99,5.0,"“item is in excellent condition. phones are 100% functional. this item will not be in the original packaging and includes a brand new non-oem mfi certified power cable. 60 days seller warranty included. it has been fully tested and is in excellent working order. device may show some light scuffs or marks from handling. fully unlocked: fully functional with every gsm / cdma network carrier such as verizon, t-mobile, at&t, sprint, metro, cricket wireless etc. gsm unlocked: fully functional with gsm network carriers like t-mobile, at&t, metro, cricket wireless etc.”",6910.0,100.0,3.0,12,64.0,2017
34,apple iphone 11 pro max 64gb unlocked smartphone - very good,499.95,3.0,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332402.0,98.4,3.0,15,64.0,2019
35,"apple iphone 6 - 16gb - space gray (unlocked) a1549 "" b stock"" ",57.29,1.0,“these unit are returns from our enterprise group have been sent back and retested to ensure 100% function. these units will come in b stock condition. meaning most units will some some scratches or light use. absolutely no dents or cracks. these units will be unlocked so will be good to use on all networks. will come with a cable and charger no box. keep in mind iphone 6 series not receive new iphone updates.”,7186.0,100.0,2.0,7,16.0,2014
36,apple iphone 8 plus 64gb unlocked metro cricket tmobile at&t verizon - excellent,219.0,4.0,"““completely unlocked and compatible with all carriers.  see details below. all of these iphones have been fully tested by our team of on-site technicians using industry-leading testing software and procedures to guarantee they're in perfect working condition and perform just like brand new phones. we're confident in the quality and condition of these iphones and you can be too, by knowing that we offer a no-risk 30-day warranty””",61033.0,100.0,2.0,11,64.0,2017
37,apple iphone 11 - 128gb/64gb - factory unlocked - very good condition -all color,395.0,1.0,"“phones are in excellent cosmetic condition. devices are ready to activate. clean esn. phonecheck certified. please see below for more info(grading,etc). if you have any questions, please do not hesitate to contact us.”",5157.0,99.3,2.0,15,128.0,2019
38,apple iphone 8 plus factory unlocked at&t t-mobile verizon smartphone very good,229.0,3.0,"“100% full functional , gsm unlocked for all gsm carriers.“this item is in great condition  and will show moderate signs of cosmetic imperfections (scratching/scuffing) on housing and screen - fully functional – comes with generic box charging usb and adapter (no simcard included)”",69144.0,95.8,2.0,11,97.84544405997693,2017
40,apple iphone x 256gb unlocked gsm phone - space gray (dents/scratches),209.99,1.0,“this item has been previously used and has strong signs of use. there may be dents or scuffs and scratches but is still 100% fully operational and functions as intended. perfect for use with a case.”,154486.0,98.0,2.0,12,256.0,2017
41,apple iphone xs max 64gb unlocked smartphone - very good,299.95,3.0,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332402.0,98.4,3.0,14,64.0,2018
42,apple iphone 11 a2111 64/128/256gb us cellular verizon at&t unlocked great,309.99,1.0,“great condition - these phones may have some visible wear from light use. there may be a few light scratches on the screen or scuffs on the body. all phones are fully tested using our 34-point inspection process and are 100% functional.”,39879.0,99.0,2.0,15,127.09859154929578,2019
43,apple iphone 7 gsm factory unlocked 4g lte ios wifi 32gb smartphone - grade b,97.99,1.0,"“may show signs of wear like multiple scratches (which you can cover if you use a screen protector) , scuffs, and dents, but it does not impair the functionality, includes free charger and cable, 100% fully functional, certified via a 34 point factory inspection, these are unlocked devices and will support all gsm networks worldwide (may not support cdma networks such as verizon etc), ships in a generic box, photos are stock photos”",119534.0,99.2,2.0,10,32.0,2016
44,apple iphone xs - 256gb space gray (unlocked) (cdma + gsm),202.0,1.0,"“phones are in mint condition. fully functional, professionally tested and cleaned to ensure perfect working functionality.”",5157.0,99.3,2.0,14,256.0,2018
45,apple iphone 11 64gb unlocked smartphone - very good,349.95,3.0,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332402.0,98.4,3.0,15,64.0,2019
46,apple iphone x 256gb factory unlocked smartphone very good,305.0,3.0,““this item is in very good condition and will show moderate signs of (scratching/scuffing) on housing and screen. fully functional gsm unlocked– comes with generic box charging usb and adapter.””,69144.0,95.8,2.0,12,256.0,2017
47,"apple iphone 7 plus 32gb black, gold unlcoked verizon at&t smartphone lte",129.69,0.0,“all phones can power on. lcd has no cracks.”,6203.0,99.9,2.0,10,32.0,2016
51,apple iphone 8 plus - 64gb - factory unlocked - very good condition,229.99,1.0,"“fully tested and restored to factory settings by our in house technicians. - very good - this product is in very good cosmetic condition, there will be signs of wear which may include light scratches and/or scuffs but nothing that will impair functionality. battery health will be a minimum of 80%. the item has been fully tested, restored to factory settings and is in excellent working order.”",27638.0,96.8,3.0,11,64.0,2017
52,apple iphone 8 64gb a1863 verizon unlocked gsm space gray very good,157.95,1.0,“device is in very good cosmetic condition. color is space gray.  device is in 100% working condition. it has been extensively tested and found to be fully functional. clean esn. apple limited warranty information is not available.”,103380.0,99.4,2.0,11,64.0,2017
53,apple iphone 8 64gb fully unlocked (gsm+cdma) at&t t-mobile verizon black,164.99,5.0,"“item is in excellent condition. phones are 100% functional. this item will not be in the original packaging and includes a brand new non-oem mfi certified power cable. 60 days seller warranty included. it has been fully tested and is in excellent working order. device may show some light scuffs or marks from handling. fully unlocked: fully functional with every gsm / cdma network carrier such as verizon, t-mobile, at&t, sprint, metro, cricket wireless etc. gsm unlocked: fully functional with gsm network carriers like t-mobile, at&t, metro, cricket wireless etc.”",6910.0,100.0,3.0,11,64.0,2017
54,apple iphone 4s-8gb-black -white(verizon-unlocked) mint condition-w/warranty,17.99,1.0,“this phone is used. however it has been tested to be 100% fully functional & operational. it has a clean esn for verizon and is also unlocked for all gsm carriers. it is in mint condition as well. the phone comes along with a free charger. but most of all the phone comes along with a 30 day warranty if something is broken. great deal!”,7708.0,96.2,2.0,3,14.523076923076923,2011
55,apple iphone 11 - 128gb - factory unlocked - very good condition,394.99,1.0,"“fully tested and restored to factory settings by our in house technicians. - very good - this product is in very good cosmetic condition, there will be signs of wear which may include light scratches and/or scuffs but nothing that will impair functionality. battery health will be a minimum of 80%. the item has been fully tested, restored to factory settings and is in excellent working order.”",27638.0,96.8,3.0,15,128.0,2019
56,apple iphone 8 64gb space gray verizon unlocked good condition,146.99,2.0,"“device is 100% fully functional and in good physical condition. the screen will likely show moderate scratches. expect minor amounts of wear in the form of scratches, minor dents and/or black markings on the housing and bezel. please reference example photos and listing for further details.”",54835.0,99.4,3.0,11,64.0,2017
58,apple iphone 11 pro 256gb unlocked smartphone - excellent,534.95,4.0,"“this is an a stock item, meaning unit is in excellent cosmetic condition.”",332402.0,98.4,3.0,15,256.0,2019
59,apple iphone 12 a2172 64/128/256gb at&t t-mobile verizon unlocked good,434.99,1.0,“good condition - these phones may show common to heavy signs of wear such as scuffs or scratches on both the screen and the body. there may be dings in the frame of the phone and wear around audio and charging ports. all phones are fully tested using our 34-point inspection process and are 100% functional.”,39879.0,99.0,2.0,16,140.10256410256412,2020
60,apple iphone x - 64gb - factory unlocked - very good condition,228.99,1.0,"“fully tested and restored to factory settings by our in house technicians. - very good - this product is in very good cosmetic condition, there will be signs of wear which may include light scratches and/or scuffs but nothing that will impair functionality. battery health will be a minimum of 80%. the item has been fully tested, restored to factory settings and is in excellent working order.”",27638.0,96.8,3.0,12,64.0,2017
61,apple iphone x 64gb unlocked gsm phone - space gray (dents/scratches),189.98,1.0,“this item has been previously used and has strong signs of use. there may be dents or scuffs and scratches but is still 100% fully operational and functions as intended. perfect for use with a case.”,154486.0,98.0,2.0,12,64.0,2017
62,apple iphone 11 64gb 128gb 256gb verizon t-mobile at&t good condition,299.99,2.0,"“this apple iphone 11 64gb 128gb 256gb verizon t-mobile at&t unlocked smartphone has been determined fully functional by our industry leading functionality 32 point inspection. it may show signs of wear like minor scratches, scuffs, and minor nicks on the screen or body. this item will not come in its original packaging but will include a certified mfi cable and ul approved power adapter. headsets, sim card and manual are not included. this apple iphone 11 64gb 128gb 256gb verizon t-mobile at&t unlocked smartphone is fully functional with verizon, t-mobile, at&t and all other cdma & gsm networks. depending on which network you purchase, your device will operate on either fully unlocked or h2o locked. (more info below in item description)”",13325.0,96.6,2.0,15,64.0,2019
63,apple iphone xr - 64gb - factory unlocked - good condition,218.99,2.0,"“fully tested and restored to factory settings by our in house technicians. - good – this product is in good cosmetic condition, there will be signs of wear which may include scratches, visible scuffs and/or screen discoloration but nothing that will impair functionality. battery health will be a minimum of 80%. the item has been fully tested, restored to factory settings and is in excellent working order.”",27638.0,96.8,3.0,13,64.0,2018
64,apple iphone x - 64gb - space gray  a1865 gsm & cdma unlocked ~mrf~ -good!,208.99,2.0,"““this product has been determined fully functional by our industry leading functionality inspection. mfi certified lightning cable and ul approved power adapter are included. this product will not come in its original packaging; headsets, sim card and manual will not be included. for additional details including carrier compability please see item description.""""the item shows moderate wear and is backed by a one year warranty. it is fully functional and has been professionally refurbished,inspected and cleaned to good condition by qualified sellers. the item includes original or new accessories and will come in a new generic packaging.”",10672.0,98.8,2.0,12,64.0,2017
65,apple iphone 7 plus - unlocked - 32gb - black - smartphone - very good,154.99,2.0,"“the cosmetic condition is overall very good, it may show signs of wear and tear, such as light dings & scratches on the screen & body. | the device has been tested and is fully functional”",122285.0,100.0,2.0,10,32.0,2016
66,apple iphone 11 pro max a2161 att t-mobile verizon factory unlocked - very good,619.0,3.0,"“we're a certified usa seller. apple iphone 11 pro max - factory unlocked model a2161 - very good condition - see the below description for more details. backed by a free one year warranty. comes in a new box with a brand new 2-piece charger (lightning cable and wall plug) and a sim tray removal tool. clean esn verified. we're a trusted and certified usa seller. all of these devices have been fully tested by our team of professionally certified mobile phone technicians to guarantee they work just like new or your money back. please, check our store ratings to see what our customers have to say about us and our products! feel free to message with any questions you may have. have a nice day!”",30062.0,100.0,2.0,15,127.09859154929578,2019
67,apple iphone 11 128gb factory unlocked 4g lte smartphone - very good,379.99,3.0,"“this iphone 11 is in very good condition and has been determined fully functional by our industry-leading functionality inspection. it will show signs of wear like scratches, scuffs, and minor nicks on the screen or body. this item will not come in its original packaging but will include a certified cable and ul approved power adapter. headsets, sim card and manual are not included.  this iphone 11 is fully functional with all carrier networks.  it does not come with a sim card, you will need to get one from your carrier of choice.”",67860.0,98.8,3.0,15,128.0,2019
68,apple iphone 8 - 64gb 256gb gsm factory unlocked  at&t t-mobile good,139.95,2.0,“this item is in 7+/10 condition.”,266878.0,99.9,2.0,11,64.0,2017
69,apple iphone 11 pro 256gb unlocked at&t t-mobile verizon very good condition,489.95,3.0,"“100% fully functional - very good cosmetic condition. very minimal signs of wear. see below for full description of cosmetic condition. the devices in this listing are apple iphone 11 pro smartphones with a storage capacity of 256gb and your choice of color from gold, midnight green, silver, space gray. they are also factory unlocked and can be used on verizon and other gsm networks such as att and t-mobile. every smartphone will arrive with a clear imei, factory data reset, clean, and ready to activate and use. generic accessories - a wall block and cable - are included with every purchase. visit our store to see more devices in more conditions. if your ideal device isn’t available, check back soon. we get new devices daily!”",82278.0,98.4,3.0,15,256.0,2019
70,apple iphone xr - 64gb -black (unlocked) a1984 (cdma + gsm)~srf~ -very good,224.99,3.0,"“this apple iphone xr - 64gb -black (unlocked) a1984 (cdma + gsm)~srf~ very good! has been determined fully functional by our industry leading functionality inspection. mfi certified lightning cable and ul approved power adapter are included. this product will not come in its original packaging; headsets, sim card and manual will not be included.""the item shows minimal wear and is backed by a one year warranty. it is fully functional and has been professionally refurbished,inspected and cleaned to very good condition by qualified sellers. the item includes original or new accessories and will come in new generic packaging”",10672.0,98.8,2.0,13,64.0,2018
71,"apple iphone 11 gsm+cdma factory unlocked verizon t-mobile at&t -""very good""",314.88,3.0,"“""very good"" detailed grade info is below. we offer a no-risk 30-day free return! , fully tested by our team of on-site technicians using industry-leading testing software and procedures. then meticulously and carefully cosmetically graded to be sure they fit the conditions in this listing.”",17600.0,98.7,2.0,15,127.09859154929578,2019
72,apple iphone 11 64gb 128gb 256gb at&t t-mobile verizon sprint unlocked excellent,359.0,4.0,"“excellent condition - fully tested and reverted to factory settings by our on-site technicians. ul certified accessories (non oem) and not in original box, in a loop box.”",2394.0,99.2,2.0,15,64.0,2019
73,apple iphone 11 pro max 256gb unlocked smartphone - very good,584.95,3.0,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332402.0,98.4,3.0,15,256.0,2019
74,apple iphone 12 128gb factory unlocked at&t t-mobile verizon very good condition,549.95,3.0,"“100% fully functional - very good cosmetic condition. very minimal signs of wear. see below for full description of cosmetic condition. the devices in this listing are apple iphone 12 smartphones with a storage capacity of 128gb and your choice of color from (product)red, black, blue, green, white. they are also factory unlocked and can be used on verizon and other gsm networks such as att and t-mobile. every smartphone will arrive with a clear imei, factory data reset, clean, and ready to activate and use. generic accessories - a wall block and cable - are included with every purchase. visit our store to see more devices in more conditions. if your ideal device isn’t available, check back soon. we get new devices daily!”",82278.0,98.4,3.0,16,128.0,2020
75,apple iphone x 64gb factory unlocked at&t t-mobile smartphone - very good,228.0,3.0,"“factory unlocked fully functional. it will show moderate signs of scratches, scuffs, on the screen or body. comes in a white generic box with generic charger.”",69144.0,95.8,2.0,12,64.0,2017
76,apple iphone x 64gb unlocked 4g lte ios wifi 12mp camera smartphone - good,209.95,2.0,"“this is a b stock item, meaning unit is in good cosmetic condition and will show signs of use in the form of scrapes or scratches.”",332402.0,98.4,3.0,12,64.0,2017
77,apple iphone se 1st gen fully unlocked (32&64 gb) (very good),82.99,3.0,“phone is in very good condition. may have some minor scratches. charger and cable included.”,2723.0,97.2,2.0,9,69.46762589928058,2016
78,apple iphone xr 128gb unlocked smartphone - very good,244.95,3.0,"“this is a b+ stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”",332402.0,98.4,3.0,13,128.0,2018
79,apple iphone x 256gb unlocked straight talk tmobile at&t verizon metro excellent,249.0,4.0,““choose your color and network from the dropdown boxes. detailed grade information is below. we offer a no-risk 30-day warranty! trusted seller. see our ratings. fully tested by our team of on-site technicians using industry-leading testing software and procedures. then meticulously and carefully cosmetically graded to be sure they fit the conditions in this listing. please message us with any questions you may have.”””,61033.0,100.0,2.0,12,256.0,2017
80,apple iphone 8+ plus - 64gb 256gb factory gsm unlocked  at&t t-mobile good,209.95,2.0,“this item is in 7+10 condition.”,266878.0,99.9,2.0,11,64.0,2017
81,apple iphone 6 plus 16gb 64gb 128gb factory unlocked at&t t-mobile verizon good,88.99,2.0,"“factory unlocked and compatible with any gsm carrier including at&t, t-mobile, verizon straighttalk, metro pcs.... not compatible with sprint or boost! these are b grade units in fair cosmetic condition and 100% fully functional, but may have some scratches or scuffs.”",249035.0,96.4,2.0,7,16.0,2014
82,apple iphone 8 64gb 256gb unlocked straight talk t-mobile at&t verizon excellent,169.0,4.0,“choose your color and network from the dropdown boxes. detailed grade information is below. we offer a no-risk 30-day warranty! trusted seller. see our ratings. fully tested by our team of on-site technicians using industry-leading testing software and procedures. then meticulously and carefully cosmetically graded to be sure they fit the conditions in this listing. please message us with any questions you may have.””””,61033.0,100.0,2.0,11,64.0,2017
83,apple iphone 12 - 64gb - all colors - unlocked smartphone - very good condition,501.49,3.0,"“fully tested and restored to factory settings by our in house technicians. - very good - this product is in very good cosmetic condition, there will be signs of wear which may include light scratches and/or scuffs but nothing that will impair functionality. battery health will be a minimum of 80%. the item has been fully tested, restored to factory settings and is in excellent working order.”",3101764.0,98.8,2.0,16,64.0,2020
84,apple iphone 12 mini unlocked 64gb 128gb | verizon t-mobile at&t | very good,399.98,3.0,"“phones are 100% tested and work like new. all orders include the apple iphone 12 mini (color, carrier, and gb you choose from drop down list), wall charging block, and mfi certified lightning usb cable. battery health tested and is a minimum of 80%+. very good- shows some limited use with light scratches on front screen/back and possible wear on edges. all units tested and work perfectly!”",15046.0,98.4,2.0,16,64.0,2020
85,apple iphone 6s  16/32/64 gb - all colors - fully unlocked - very good condition,84.99,3.0,“this item is in very good condition. fully tested and functional. may have some minor scratches from previous use. charger and cable are included.”,2723.0,97.2,2.0,8,57.49235474006116,2015
86,apple iphone 11 pro a2160 att t-mobile verizon factory unlocked - very good -,469.0,3.0,"“free 2-day shipping! apple iphone 11 pro - model a2160 factory unlocked - very good condition - see the below description for more details. comes in a new box with a brand new 2-piece charger (lightning cable and wall plug) and a sim tray removal tool. we're a trusted and certified usa seller. all of these devices have been fully tested by our team of professionally certified technicians. please, check our store ratings to see what our customers have to say about us and our products! feel free to message with any questions you may have. have a nice day!”",30062.0,100.0,2.0,15,127.09859154929578,2019
87,apple iphone xs max xsm 64/256/512gb gsm factory unlocked  cell phone  good,299.95,2.0,“item is in good cosmetic condition”,266878.0,99.9,2.0,14,176.43672456575683,2018
88,apple iphone 12 64gb 128gb 256gb fully unlocked 5g smartphone - very good,464.99,3.0,"“this product has been determined fully functional by our industry leading functionality inspection. certified lightning cable and ul approved power adapter are included. this product will not come in its original packaging; headsets, sim card and manual will not be included. for additional details including carrier compatibility please see item description.the item shows minimal wear and is backed by a one year warranty. it is fully functional and has been professionally refurbished, inspected and cleaned to very good condition by qualified sellers. the item includes original or new accessories and will come in new generic packaging. see the seller's listing for full details.”",20940.0,97.8,2.0,16,64.0,2020
89,apple iphone 11 pro 64gb unlocked smartphone - excellent,459.95,4.0,"“this is an a stock item, meaning unit is in excellent cosmetic condition.”",332402.0,98.4,3.0,15,64.0,2019
91,apple iphone xr 64gb a1984 t-mobile at&t gsm unlocked  apple iphone xr excellent,259.89,4.0,"“these units are part of a closeout, overstock lot, and/or store returns. each phone is in excellent cosmetic condition or better. we received them in bulk, tested and re-packaged the items in our generic white boxes. sim card not included. select your color, and network. you will receive a apple iphone xr and non-oem compatible charger/data cable. nothing else is included. the phone maybe locked to a specific carrier or unlocked. unlocked phones will work with most gsm sim cards and on verizon service, please check with your carrier to ensure compatibility. carrier locked phones will only work on that specific carrier.”",149726.0,99.7,2.0,13,64.0,2018
92,apple iphone 11 64gb factory unlocked 4g lte smartphone - very good,324.99,3.0,"“this product has been determined fully functional by our industry leading functionality inspection and is backed by a one year warranty -very good- condition: may have some light signs of wear, light body scratches, the display may have light-to-mild amount of shallow depth scratches not visible when screen is on, and no screen burns, includes free approved charger and cable, certified via a 34 point factory inspection, these are unlocked devices ,  ships in a generic box, photos are stock photos”",119534.0,99.2,2.0,15,64.0,2019
